description,details,money,pub_name
"1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the new arab
"1000 word opinion, editorial, column or essay",,"$0.25
/word",the new european
2000 word,,"$0.05
/word",the new inquiry
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the new inquiry
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the new inquiry
"opinion, editorial, column or essay",,"$50
flat",the new inquiry
"~1500 word opinion, editorial, column or essay",,"$0.00
/word",the new inquiry
,,"$50
flat",the new inquiry
,,,the new inquiry
1500 word,,"$0.03
/word",the new inquiry
1200 word,,"$0.16
/word",the new republic
"3000 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",the new republic
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.15
/word",the new republic
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",the new republic
~3000 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",the new republic
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Assignment (editor came to you),"$0.20
/word",the new republic
"450 word opinion, editorial, column or essay",,"$1.00
/word",the new republic
1000 word news story,,"$0.40
/word",the new republic
"~750 word criticism, review, or arts/entertainment converage",Little to no reporting; Assignment (editor came to you),"$0.40
/word",the new york post
"1200 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.13
/word",the new york times
1200 word,,"$1.00
/word",the new york times
600 word other,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the new york times
1300 word feature,Heavy/Investigative reporting; Submission/spec (piece was written prior and then submitted for publication),"$1.00
/word",the new york times
200 word profile or interview,Little to no reporting; Referral (you had a connection who connected you to the editor),"$1.50
/word",the new york times
"600 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",the new york times
730 word other,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.40
/word",the new york times
"~1500 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",the new york times
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",the new york times
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",the new york times
~750 word news story,Ongoing/pre existing relationship with editor or publication,"$0.40
/word",the new york times
"~1500 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.00
/word",the new york times
~750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.80
/word",the new york times
"~1500 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.80
/word",the new york times
"~1500 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.20
/word",the new york times
"~750 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.10
/word",the new york times
800 word news story,,"$1.00
/word",the new york times
"1200 word opinion, editorial, column or essay",,"$0.13
/word",the new york times
news story,,"$50
flat",the new york times
news story,,,the new york times
950 word news story,,"$1.00
/word",the new york times
1200 word feature,,"$0.50
/word",the new york times
"opinion, editorial, column or essay",,"$250
flat",the new york times
"~850 word criticism, review, or arts/entertainment converage",,"$0.65
/word",the new york times
"~850 word criticism, review, or arts/entertainment converage",,"$0.65
/word",the new york times
"criticism, review, or arts/entertainment converage",,"$800
flat",the new york times
"opinion, editorial, column or essay",,"$300
flat",the new york times
blog post,,"$200
flat",the new york times
,,,the new york times
"~800 word criticism, review, or arts/entertainment converage",,"$0.56
/word",the new york times
,,,the new york times
"1000 word criticism, review, or arts/entertainment converage",,"$0.50
/word",the new york times
"~3000 word opinion, editorial, column or essay",,"$0.10
/word",the new york times  modern love
1200 word other,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.27
/word",the new yorker
1500 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.22
/word",the new yorker
1500 word blog post,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",the new yorker
1800 word,Medium reporting,"$0.17
/word",the new yorker
1500 word,,"$0.20
/word",the new yorker
"~1500 word opinion, editorial, column or essay",,"$0.17
/word",the new yorker
blog post,,"$250
flat",the new yorker
blog post,,"$250
flat",the new yorker
feature,,"$250
flat",the new yorker
news story,,,the new yorker
600 word other,Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the new yorker  daily shouts humor section
800 word fiction,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.38
/word",the new yorker  daily shouts humor section
1400 word blog post,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.21
/word",the new yorker  elements tech blog
~3500 word feature,,"$0.07
/word",the new yorker  elements tech blog
~750 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.07
/word",the news hub
"~1500 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.33
/word",the observerguardian
800 word fiction,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.06
/word",the offing
~125 word fiction,Little to no reporting,,the offing
1500 word,,"$0.53
/word",the open notebook
800 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.50
/word",the outline
2000 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.33
/word",the outline
1200 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.21
/word",the outline
1700 word news story,Medium reporting; Assignment (editor came to you),"$0.50
/word",the outline
"~375 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",the overcast
"1500 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",the paris review
"~1500 word criticism, review, or arts/entertainment converage",Medium reporting; Assignment (editor came to you),"$0.07
/word",the paris review
"~3000 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.03
/word",the paris review
"opinion, editorial, column or essay",,"$100
flat",the paris review
blog post,,"$100
flat",the paris review
blog post,,"$100
flat",the paris review
blog post,,"$100
flat",the paris review
"1200 word opinion, editorial, column or essay",,"$0.08
/word",the paris review
1050 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the penny hoarder
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the penny hoarder
961 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.08
/word",the penny hoarder
~750 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",the picture professional
1000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.23
/word",the pitch
1071 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",the pitch
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",the plaid zebra
~750 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the plaid zebra
"~3000 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",the point
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the progressive
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.40
/word",the progressive
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the progressive
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.40
/word",the progressive
"800 word opinion, editorial, column or essay",,"$1.25
/word",the progressive
news story,Heavy/Investigative reporting,"$1000
flat",the progressive
"1500 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",the quietus
3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",the quietus
1500 word,,"$0.03
/word",the raddington report
800 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.00
/word",the raddington report
550 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.36
/word",the real deal los angeles
2200 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",the rebel bulletin
4000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.88
/word",the ringer
5000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the ringer
6000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.58
/word",the ringer
2300 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the ringer
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",the riveter
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the riveter
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",the root
"800 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",the root
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",the rumpus
"opinion, editorial, column or essay",,,the rumpus
,,,the rumpus
"~1500 word opinion, editorial, column or essay",,"$0.13
/word",the rumpus  letters in the mail
,,"$200
flat",the rumpus  letters in the mail
1000 word fiction,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.05
/word",the rush magazine
700 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.43
/word",the salt npr food blog
"1000 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",the salt npr food blog
~700 word blog post,,"$0.29
/word",the salt npr food blog
~750 word fob,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.40
/word",the scientist
800 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.31
/word",the scientist
1000 word profile or interview,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the slutist
3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the smart set
2300 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.09
/word",the smart set
1000 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",the stage
,,,the state
,,,the state
600 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",the street
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",the street
2000 word fiction,Ongoing/pre existing relationship with editor or publication,"$0.25
/word",the sun
"~3000 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.20
/word",the sun
"~5000 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.20
/word",the sun
fiction,,"$600
flat",the sun
700 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",the sunday times
3500 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.46
/word",the surfers journal
700 word fob,Assignment (editor came to you),"$0.01
/word",the tempest
"600 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.02
/word",the tempest
"450 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.02
/word",the tempest
500 word,,"$0.02
/word",the tempest
500 word,,"$0.02
/word",the tempest
"600 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",the tempest
"700 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.01
/word",the tempest
500 word,,"$0.02
/word",the tempest
"600 word opinion, editorial, column or essay",Cold pitch (no pre existing relationship),"$0.00
/word",the tempest
3600 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the texas observer
~3000 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.31
/word",the texas observer
"~3000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the toast
"~3000 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.01
/word",the toast
~1500 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",the toast
"~3000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.02
/word",the toast
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",the toast
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the toast
"~3000 word opinion, editorial, column or essay",Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the toast
~125 word other,Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",the toast
~1500 word fiction,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.03
/word",the toast
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the toast
1000 word,,"$0.25
/word",the towner
3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",the verge
885 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.90
/word",the verge
,,,the verge
feature,,,the verge
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the wag magazine
5000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",the walrus
"4000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.10
/word",the walrus
4000 word,,"$0.20
/word",the walrus
800 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",the walrus
5000 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$1.00
/word",the walrus
1200 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.42
/word",the walrus
2000 word,,"$0.20
/word",the walrus
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",the walrus
1000 word fiction,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",the walrus
feature,,,the walrus
"1400 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.21
/word",the war horse
"1200 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",the war horse
"900 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.22
/word",the washington post  on parenting
"100 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$2.50
/word",the washington post  on parenting
900 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.22
/word",the washington times
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.19
/word",the week website
"1300 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.12
/word",the week website
800 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.19
/word",the week website
"1100 word opinion, editorial, column or essay",,"$0.05
/word",the weekly standard blog
500 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",the weekly standard blog
"3000 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",the white review
~750 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",the wire
1000 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.70
/word",the woke society
~1500 word news story,Medium reporting,"$0.04
/word",the womens international perspective
800 word blog post,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.09
/word",the write life
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.40
/word",the writer
"~3000 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.13
/word",the writer
350 word blog post,Little to no reporting; Assignment (editor came to you),"$0.36
/word",thekitchn
,,"$1150
flat",this american life radio
2000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.10
/word",this magazine canada
"1200 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",this magazine canada
"1200 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",this magazine canada
500 word fob,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",this magazine canada
3000 word feature,,"$0.07
/word",this magazine canada
,,,this recording
1000 word fob,,"$0.20
/word",threepenny review
5000 word feature,,"$0.50
/word",thrillist
~750 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",thrillist
~375 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.27
/word",thrillist
800 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.22
/word",thrillist philly
~125 word other,Little to no reporting; Calls page,"$0.40
/word",thriving family
1700 word,,"$1.47
/word",time
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.22
/word",time
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.22
/word",time
"~750 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.00
/word",time
"~375 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.00
/word",time
,,,time
"~750 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.20
/word",time ideastimecom
1979 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",time magazine
~1500 word news story,Medium reporting; Assignment (editor came to you),"$0.20
/word",time out
500 word,,"$3.00
/word",time out new york
~125 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$2.40
/word",time out new york
,,,time out new york
5800 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",timeline
"1000 word opinion, editorial, column or essay",Little to no reporting; Other,"$0.00
/word",times higher education
1200 word,,"$0.21
/word",tin house
~3000 word feature,Ongoing/pre existing relationship with editor or publication,"$0.13
/word",tin house
2500 word,,"$0.20
/word",tnooz
~750 word profile or interview,Little to no reporting; Assignment (editor came to you),"$0.07
/word",todays charlotte woman
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.67
/word",todays parent magazine
1500 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",tokyoyogacom
"1000 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.30
/word",tonic vice
1000 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",tonic vice
"1000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",tonic vice
1012 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.30
/word",tonic vice
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",tonic vice
931 word,,"$0.32
/word",tonic vice
974 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.26
/word",tonic vice
1100 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.23
/word",tonic vice
700 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",townsquare digital
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",trains magazine
702 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.21
/word",trains magazine
~1500 word fob,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.07
/word",transitions abroad
500 word fob,Medium reporting,"$0.20
/word",travel age west
1500 word fob,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",travel and leisure
200 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",travel and leisure
300 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$2.00
/word",travel and leisure
4500 word blog post,Little to no reporting; Assignment (editor came to you),"$0.24
/word",travel and leisure
500 word feature,Little to no reporting; Assignment (editor came to you),"$0.20
/word",travel and leisure
300 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",travel and leisure
100 word,,"$2.00
/word",travel and leisure
500 word fob,Medium reporting; Assignment (editor came to you),"$0.50
/word",triathlete magazine
1850 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",tricycle
1500 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.20
/word",truthout
1200 word news story,Heavy/Investigative reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.00
/word",truthout
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",truthout
other,,"$100
flat",truthout
,,"$100
flat",truthout
,,"$150
flat",truthout
,,"$300
flat",truthout
~1500 word news story,,"$0.10
/word",truthout
600 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",ttg asia travel trade gazette asia singapore
"1000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.05
/word",tuenight
"800 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.06
/word",tuenight
profile or interview,,"$200
flat",tumblr storyboard
"600 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",tyro magazine
1000 word,,"$0.85
/word",us news  world report
1000 word,,"$1.00
/word",us news  world report
1000 word,,"$0.85
/word",us news  world report
1000 word,,"$1.00
/word",us news  world report
1000 word,,"$0.85
/word",us news  world report
1000 word,,"$1.00
/word",us news  world report
275 word other,Heavy/Investigative reporting,"$0.08
/word",ultius
"1050 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.48
/word",undark
500 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$1.00
/word",undark
1500 word,,"$1.00
/word",undark
"950 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.53
/word",undark
1500 word,,"$1.00
/word",undark
3000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.40
/word",undark
500 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",undark
"~375 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),,undark
1500 word profile or interview,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.03
/word",under the radar
1500 word,,"$0.03
/word",under the radar
1000 word,,"$0.03
/word",unicorn booty
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",unilad
750 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.40
/word",univision
"1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",unusual effortd
"1200 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.02
/word",unusual efforts
500 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.01
/word",unwinnable
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",upside down world
~750 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.27
/word",upworthy
~750 word,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.33
/word",upworthy
,,,urb magazine
1000 word feature,,"$0.40
/word",urban agenda magazine
2500 word,,"$0.20
/word",urban omnibus
800 word,,"$0.30
/word",us of america
800 word,,"$0.50
/word",usa today
"750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",usa today
700 word,,"$0.43
/word",usa today
600 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",usa today college
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",usa today college
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",usa today college
700 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",vam
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",van magazine
"996 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.30
/word",vanity fair
~225 word,,"$2.00
/word",vanity fair
"600 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.75
/word",variety
800 word profile or interview,Little to no reporting; Assignment (editor came to you),"$0.08
/word",vdrome
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.04
/word",verge magazine
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),,verge magazine
900 word,,"$0.02
/word",verily magazine
950 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",verily magazine
1000 word feature,Little to no reporting; Other,"$0.05
/word",verily magazine
"800 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",very smart brothas
1000 word blog post,Little to no reporting; Assignment (editor came to you),"$0.15
/word",vh1
500 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.30
/word",vh1
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",vice
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",vice
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.14
/word",vice
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",vice
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",vice
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.14
/word",vice
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",vice
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",vice
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.14
/word",vice
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",vice
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",vice
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.14
/word",vice
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",vice
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",vice
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.14
/word",vice
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",vice
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",vice
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.14
/word",vice
1400 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",vice uk
1000 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.22
/word",vice uk
,,,vice uk
~1500 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",vice canada
1200 word,,"$0.31
/word",vice news
1500 word,,"$0.50
/word",vice news
1000 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.45
/word",vice news
~1500 word news story,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.47
/word",vice news
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",vice news
~750 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.57
/word",vice news
