description,details,money,pub_name,rate,type
"800 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the billfold,0.03,word
600 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",the billfold,0.05,word
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",the billfold,0.04,word
1100 word,,"$0.03
/word",the billfold,0.03,word
"750 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.03
/word",the billfold,0.03,word
"800 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.04
/word",the billfold,0.04,word
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",the billfold,0.04,word
"1000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the billfold,0.03,word
~1500 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",the billfold,0.02,word
~3000 word profile or interview,Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",the billfold,0.0,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.02
/word",the billfold,0.02,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the billfold,0.03,word
6000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.08
/word",the bitter southerner,0.08,word
800 word fob,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.06
/word",the bold italic,0.06,word
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the bold italic,0.1,word
1600 word feature,,"$0.19
/word",the bold italic,0.19,word
800 word news story,,"$0.19
/word",the bold italic,0.19,word
"850 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the bolde,0.03,word
"800 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",the bolde,0.04,word
"800 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",the bolde,0.04,word
650 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",the bolde,0.05,word
"650 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",the bolde,0.05,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",the bridge,0.2,word
"2500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",the brooklyn quarterly,0.05,word
5000 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.07
/word",the caravan,0.07,word
4000 word,Other,"$0.07
/word",the caravan,0.07,word
"3500 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the caravan,0.07,word
800 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the caravan,0.1,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",the cauldron,0.0,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",the cauldron,0.13,word
1000 word other,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",the cheat sheet,0.1,word
500 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",the creators project,0.2,word
"984 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.71
/word",the cut new york magazine,0.71,word
800 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the cut new york magazine,0.5,word
"834 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the cut new york magazine,0.1,word
800 word,,"$0.38
/word",the cut new york magazine,0.38,word
1000 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.35
/word",the cut new york magazine,0.35,word
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.30
/word",the cut new york magazine,0.3,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.80
/word",the cut new york magazine,0.8,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",the cut new york magazine,0.4,word
~1500 word news story,Medium reporting; Assignment (editor came to you),"$0.53
/word",the cut new york magazine,0.53,word
"~1500 word opinion, editorial, column or essay",Solicited pitch (editor asked you to pitch),"$0.20
/word",the cut new york magazine,0.2,word
~750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",the cut new york magazine,0.33,word
"1800 word opinion, editorial, column or essay",,"$0.17
/word",the cut new york magazine,0.17,word
400 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",the daily beast,0.5,word
1100 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.32
/word",the daily beast,0.32,word
985 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.41
/word",the daily beast,0.41,word
1144 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.22
/word",the daily beast,0.22,word
700 word blog post,Medium reporting; Assignment (editor came to you),"$0.57
/word",the daily beast,0.57,word
900 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.00
/word",the daily beast,0.0,word
1156 word news story,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.17
/word",the daily beast,0.17,word
1500 word,,"$0.20
/word",the daily beast,0.2,word
"1200 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",the daily beast,0.25,word
~750 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.67
/word",the daily beast,0.67,word
~1500 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.30
/word",the daily beast,0.3,word
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.47
/word",the daily beast,0.47,word
1500 word feature,,"$0.23
/word",the daily beast,0.23,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",the daily dot,0.15,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.11
/word",the daily dot,0.11,word
1500 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",the dart,0.02,word
"1500 word criticism, review, or arts/entertainment coverage",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.02
/word",the dart,0.02,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.30
/word",the debrief,0.3,word
2000 word feature,,"$0.13
/word",the development setbrigh,0.13,word
700 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the dollar stretcher,0.1,word
600 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.92
/word",the economist,0.92,word
500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.20
/word",the economist,1.2,word
~375 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.33
/word",the economist,1.33,word
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.62
/word",the economist,0.62,word
~750 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.80
/word",the economist,0.8,word
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.21
/word",the economist,0.21,word
"800 word criticism, review, or arts/entertainment converage",,"$0.32
/word",the economist,0.32,word
400 word news story,,"$1.26
/word",the economist,1.26,word
1600 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.44
/word",the edit,0.44,word
750 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.27
/word",the equipped brewer,0.27,word
1000 word,,"$0.25
/word",the escapist,0.25,word
"1000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",the establishment,0.13,word
"1200 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",the establishment,0.1,word
789 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.16
/word",the establishment,0.16,word
"1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.08
/word",the establishment,0.08,word
"1200 word opinion, editorial, column or essay",Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the establishment,0.1,word
"2000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.06
/word",the establishment,0.06,word
"2000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.06
/word",the establishment,0.06,word
1200 word,,"$0.05
/word",the establishment,0.05,word
1884 word other,Little to no reporting; Cold pitch (no pre existing relationship),"$0.08
/word",the establishment,0.08,word
"2000 word opinion, editorial, column or essay",,"$0.03
/word",the establishment,0.03,word
"1750 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",the establishment,0.07,word
800 word,,"$0.16
/word",the establishment,0.16,word
1350 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.09
/word",the establishment,0.09,word
1100 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.11
/word",the establishment,0.11,word
~1500 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",the everygirl,0.05,word
"1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.01
/word",the f bomb,0.01,word
5000 word profile or interview,Heavy/Investigative reporting; Assignment (editor came to you),"$0.40
/word",the fader,0.4,word
800 word profile or interview,Little to no reporting; Assignment (editor came to you),"$0.38
/word",the fader,0.38,word
2100 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the fader,0.07,word
3300 word profile or interview,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",the fader,0.05,word
~1500 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",the fader,0.2,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",the fashion spot,0.03,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",the fashion spot,0.03,word
~750 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",the fashion spot,0.13,word
"1345 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",the financial diet,0.02,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",the financial diet,0.04,word
"1400 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",the financial diet,0.02,word
1679 word blog post,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.00
/word",the financial diet,0.0,word
"1050 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.00
/word",the financial diet,0.0,word
995 word,,"$0.00
/word",the financial diet,0.0,word
"1238 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.00
/word",the financial diet,0.0,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",the financial diet,0.03,word
"750 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.53
/word",the financial times,0.53,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",the fix,0.13,word
"1150 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.11
/word",the fix,0.11,word
1500 word,,"$0.20
/word",the fix,0.2,word
"1100 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.11
/word",the fix,0.11,word
"900 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.14
/word",the fix,0.14,word
1000 word,,"$0.10
/word",the fix,0.1,word
1200 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",the fix,0.17,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the fix,0.1,word
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",the fix,0.2,word
"1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",the fix,0.17,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",the fix,0.2,word
1000 word,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",the forward,0.25,word
1127 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",the forward,0.11,word
1500 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.53
/word",the forward,0.53,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",the forward,0.13,word
"1100 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.09
/word",the forward,0.09,word
~900 word feature,,"$0.44
/word",the forward,0.44,word
"2000 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",the fresh toast,0.05,word
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.02
/word",the friday times,0.02,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.07
/word",the frisky,0.07,word
"~750 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",the frisky,0.1,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",the frisky,0.07,word
"500 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$1.00
/word",the girlfriend from aarp,1.0,word
"500 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.50
/word",the globe and mail,0.5,word
"650 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.27
/word",the globe and mail,0.27,word
500 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.60
/word",the guardian,0.6,word
800 word,,"$0.28
/word",the guardian,0.28,word
540 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",the guardian,1.0,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the guardian,0.5,word
"800 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.50
/word",the guardian,0.5,word
"~750 word opinion, editorial, column or essay",Assignment (editor came to you),"$0.19
/word",the guardian,0.19,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the guardian,0.5,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.18
/word",the guardian,0.18,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.50
/word",the guardian,0.5,word
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.39
/word",the guardian,0.39,word
~1500 word fob,Medium reporting; Assignment (editor came to you),"$0.33
/word",the guardian,0.33,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",the guardian,0.19,word
~750 word news story,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.51
/word",the guardian,0.51,word
1000 word news story,,"$0.52
/word",the guardian,0.52,word
1890 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",the guardian us,0.5,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.40
/word",the guardian us,0.4,word
2100 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.23
/word",the guardian us,0.23,word
1200 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.42
/word",the guardian us,0.42,word
1100 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",the guardian us,0.25,word
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",the guardian us,0.4,word
"800 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.31
/word",the guardian us,0.31,word
800 word,,"$0.19
/word",the guardian us,0.19,word
1200 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.33
/word",the guardian us,0.33,word
"~750 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.19
/word",the guardian us,0.19,word
1500 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",the guardian global development,0.33,word
850 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.41
/word",the guardian global development,0.41,word
"800 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.14
/word",the guardian global development,0.14,word
1000 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",the hairpin,0.0,word
169 word other,Little to no reporting; Cold pitch (no pre existing relationship),"$0.59
/word",the hairpin,0.59,word
500 word blog post,Little to no reporting,"$0.35
/word",the hairpin,0.35,word
~750 word profile or interview,Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",the hairpin,0.2,word
"~1500 word criticism, review, or arts/entertainment converage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",the hairpin,0.0,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the hairpin,0.07,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",the hairpin,0.0,word
"~1500 word criticism, review, or arts/entertainment converage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",the hairpin,0.2,word
1500 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$1.00
/word",the hechinger report,1.0,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.29
/word",the independent,0.29,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",the independent,0.25,word
800 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.30
/word",the independent,0.3,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",the independent,0.0,word
~750 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",the independent restaurateur,0.07,word
"1000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$1.50
/word",the independentae,1.5,word
"500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$1.50
/word",the independentae,1.5,word
"600 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.75
/word",the independentae,0.75,word
1600 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$1.25
/word",the independentae,1.25,word
1300 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.85
/word",the independentae,0.85,word
350 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.01
/word",the inquisitr,0.01,word
1500 word news story,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$1.00
/word",the intercept,1.0,word
983 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.31
/word",the intercept,0.31,word
"1500 word opinion, editorial, column or essay",Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the intercept,0.5,word
"~875 word criticism, review, or arts/entertainment converage",,"$0.06
/word",the iowa review,0.06,word
"800 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",the jewish advocate,0.05,word
750 word news story,Medium reporting; Assignment (editor came to you),"$0.07
/word",the jewish advocate,0.07,word
1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",the kernel daily dot,0.33,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.23
/word",the kernel daily dot,0.23,word
750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.53
/word",the lancet,0.53,word
2487 word feature,,"$0.10
/word",the lifted brow australia,0.1,word
"200 word opinion, editorial, column or essay",,"$0.14
/word",the lifted brow australia,0.14,word
2000 word feature,Medium reporting; Assignment (editor came to you),"$0.10
/word",the line of best fit,0.1,word
1228 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.12
/word",the linguist,0.12,word
1500 word feature,,"$0.53
/word",the magazine,0.53,word
"1375 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the mary sue,0.03,word
550 word,Medium reporting,"$0.04
/word",the mary sue,0.04,word
3700 word fiction,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.05
/word",the masters review,0.05,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",the millions,0.0,word
~3000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",the millions,0.0,word
"~1500 word opinion, editorial, column or essay",,"$0.00
/word",the millions,0.0,word
2100 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.07
/word",the morning news,0.07,word
"~3000 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",the morning news,0.05,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.03
/word",the morning news,0.03,word
800 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",the muse,0.19,word
1500 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",the nation,0.13,word
2500 word,,"$0.40
/word",the nation,0.4,word
"3000 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.25
/word",the nation,0.25,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",the nation,0.2,word
1500 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.13
/word",the nation,0.13,word
2400 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",the nation,0.15,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.27
/word",the nation,0.27,word
~5000 word feature,,"$0.10
/word",the nation,0.1,word
4000 word feature,,"$0.13
/word",the nation,0.13,word
2500 word,,"$0.10
/word",the nation,0.1,word
4000 word,,"$0.13
/word",the nation,0.13,word
900 word fob,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.56
/word",the national,0.56,word
700 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$1.43
/word",the national,1.43,word
700 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.57
/word",the national,0.57,word
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",the national,0.13,word
1300 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.12
/word",the new arab,0.12,word
"1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",the new arab,0.1,word
"1000 word opinion, editorial, column or essay",,"$0.25
/word",the new european,0.25,word
2000 word,,"$0.05
/word",the new inquiry,0.05,word
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the new inquiry,0.03,word
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",the new inquiry,0.03,word
"~1500 word opinion, editorial, column or essay",,"$0.00
/word",the new inquiry,0.0,word
1500 word,,"$0.03
/word",the new inquiry,0.03,word
1200 word,,"$0.16
/word",the new republic,0.16,word
"3000 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",the new republic,0.05,word
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.15
/word",the new republic,0.15,word
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",the new republic,0.08,word
~3000 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",the new republic,0.17,word
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Assignment (editor came to you),"$0.20
/word",the new republic,0.2,word
"450 word opinion, editorial, column or essay",,"$1.00
/word",the new republic,1.0,word
1000 word news story,,"$0.40
/word",the new republic,0.4,word
"~750 word criticism, review, or arts/entertainment converage",Little to no reporting; Assignment (editor came to you),"$0.40
/word",the new york post,0.4,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.13
/word",the new york times,0.13,word
1200 word,,"$1.00
/word",the new york times,1.0,word
600 word other,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",the new york times,0.5,word
1300 word feature,Heavy/Investigative reporting; Submission/spec (piece was written prior and then submitted for publication),"$1.00
/word",the new york times,1.0,word
200 word profile or interview,Little to no reporting; Referral (you had a connection who connected you to the editor),"$1.50
/word",the new york times,1.5,word
"600 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",the new york times,0.25,word
730 word other,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.40
/word",the new york times,1.4,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",the new york times,0.1,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",the new york times,0.1,word
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",the new york times,1.0,word
~750 word news story,Ongoing/pre existing relationship with editor or publication,"$0.40
/word",the new york times,0.4,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.00
/word",the new york times,0.0,word
~750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.80
/word",the new york times,0.8,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.80
/word",the new york times,0.8,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.20
/word",the new york times,0.2,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.10
/word",the new york times,0.1,word
800 word news story,,"$1.00
/word",the new york times,1.0,word
"1200 word opinion, editorial, column or essay",,"$0.13
/word",the new york times,0.13,word
950 word news story,,"$1.00
/word",the new york times,1.0,word
1200 word feature,,"$0.50
/word",the new york times,0.5,word
"~850 word criticism, review, or arts/entertainment converage",,"$0.65
/word",the new york times,0.65,word
"~850 word criticism, review, or arts/entertainment converage",,"$0.65
/word",the new york times,0.65,word
"~800 word criticism, review, or arts/entertainment converage",,"$0.56
/word",the new york times,0.56,word
"1000 word criticism, review, or arts/entertainment converage",,"$0.50
/word",the new york times,0.5,word
"~3000 word opinion, editorial, column or essay",,"$0.10
/word",the new york times  modern love,0.1,word
1200 word other,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.27
/word",the new yorker,0.27,word
